group,term_a,term_b,sim_before,sim_after,delta
confusable,대손충당금,대손준비금,0.78095245,0.5988525,-0.18209994
confusable,이익잉여금,자본잉여금,0.7961599,0.61835766,-0.17780226
confusable,자기주식,자본금,0.36538517,0.13378759,-0.23159759
confusable,유동부채,비유동부채,0.7211718,0.7424621,0.021290302
confusable,매출채권,매입채무,0.5577198,0.22278649,-0.33493334
confusable,회계정책,회계추정치,0.65723866,0.33874607,-0.3184926
confusable,연결재무제표,별도재무제표,0.6373582,0.37423587,-0.26312232
confusable,확정급여채무,확정기여채무,0.7708494,0.6114681,-0.15938133
confusable,지분법,원가법,0.39093783,0.31196633,-0.078971505
confusable,금융자산,금융부채,0.51688635,0.58333635,0.06645
confusable,감가상각비,감모상각비,0.80267036,0.78275067,-0.019919693
confusable,재평가잉여금,재평가손익,0.70447505,0.5731636,-0.13131142
confusable,자산손상,자산재평가,0.4471023,0.27681804,-0.17028427
confusable,전기오류수정,회계추정치변경,0.26764035,0.28526208,0.017621726
confusable,영업권,무형자산,0.15561908,0.28431904,0.12869996
confusable,우발부채,충당부채,0.61035,0.35641998,-0.25393003
confusable,리스부채,리스자산,0.7163533,0.5541582,-0.16219509
confusable,당기순이익,포괄손익,0.44827494,0.31631458,-0.13196036
antonym,매수,매도,0.6845564,0.57660717,-0.10794926
antonym,매수 주문,매도 주문,0.82287264,0.74234563,-0.08052701
antonym,매수 포지션,매도 포지션,0.8381488,0.79448324,-0.04366553
antonym,공매도,공매수,0.8556153,0.82456344,-0.031051874
antonym,차입,대여,0.2827326,0.20399737,-0.07873523
antonym,차입금,대여금,0.53282005,0.36993992,-0.16288012
antonym,매출,매입,0.35275772,0.16515397,-0.18760376
antonym,입금,출금,0.6843331,0.48640266,-0.19793043
antonym,상승세,하락세,0.71891147,0.686289,-0.032622457
antonym,강세장,약세장,0.75861883,0.68261945,-0.07599938
antonym,자산 증가,자산 감소,0.7586044,0.6907902,-0.06781423
antonym,이익 실현,손실 실현,0.6314861,0.37326464,-0.25822148
antonym,배당 지급,배당 수취,0.8076876,0.73631287,-0.071374714
antonym,채권자,채무자,0.95446,0.8758435,-0.0786165
antonym,대주주,소액주주,0.62973434,0.40439844,-0.2253359
antonym,장기 투자,단기 투자,0.7726006,0.60735387,-0.16524673
antonym,이 종목은 지금 매수하기 좋은 시점이다,이 종목은 지금 매도하기 좋은 시점이다,0.95271224,0.8394237,-0.11328852
antonym,금리가 상승하면 채권 가격은 하락한다,금리가 하락하면 채권 가격은 상승한다,0.98853076,0.9901128,0.0015820265
synonym,대손충당금,대손충당금 설정액,0.84014183,0.64520776,-0.19493407
synonym,당기순이익,당기순손익,0.92419,0.9340323,0.009842336
synonym,유형자산,유형자산의 취득원가,0.7192639,0.51203924,-0.20722467
synonym,재무상태표,대차대조표,0.34387165,0.27300924,-0.07086241
synonym,자기주식,자사주,0.63440156,0.574528,-0.05987358
synonym,연결재무제표,연결 재무제표,0.94745463,0.8547175,-0.09273714
synonym,감가상각비,감가상각액,0.7435812,0.83043146,0.086850286
synonym,충당부채,충당금,0.68380356,0.7710584,0.08725482
synonym,포괄손익계산서,손익계산서,0.6728647,0.44426334,-0.22860134
synonym,금융상품,금융자산 및 금융부채,0.5917497,0.7468254,0.15507567
synonym,매수,매입,0.6339837,0.41456264,-0.21942103
synonym,매도,매각,0.725776,0.4619037,-0.26387233
synonym,공매도,숏 포지션,0.22501117,0.20603262,-0.018978551
unrelated,대손충당금,직원 연차수당,0.35936254,-0.022986595,-0.38234913
unrelated,이익잉여금,사내 회의실 예약,0.17660892,0.06001229,-0.11659663
unrelated,연결재무제표,점심 메뉴 추천,0.14321078,0.145479,0.00226821
unrelated,자기주식,오늘의 날씨,0.06989588,0.08879837,0.018902488
unrelated,금융자산,축구 경기 결과,0.16133666,0.28751323,0.12617657
unrelated,매수,오늘의 날씨,0.14740252,0.06728706,-0.08011547
